,Drop_Reason,File_List,Street,Text
148,"SCORE LESS THAN CUTOFF: Burgess St,72.5,PROVIDENCE",['cd1978/entry/1978_Page_86 (1)_21.png'],BURNS ST,Hope John Settlement House 7 Burgess St
149,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_86 (1)_32.png'],N/A,Nixon Wallace R State Office Bldg
150,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_86 (1)_44.png'],N/A,CONFECTIONERY—RETAIL
151,FAILED TO PARSE AN ADDRESS,"['cd1978/entry/1978_Page_86 (2)_57.png', 'cd1978/entry/1978_Page_86 (2)_58.png']",N/A,Rhode Island Hosp Trust Co Nat] Bank One Hosp Trust Plaza lst Fi
152,"SCORE LESS THAN CUTOFF: Greenville Av, Johnston, R I,78.0,PROVIDENCE","['cd1978/entry/1978_Page_88 (1)_51.png', 'cd1978/entry/1978_Page_88 (1)_52.png', 'cd1978/entry/1978_Page_88 (1)_53.png']",GREENVILLE AVE,"’ MILLER CHAS CO 484 Greenville Av, Johnston, R I (02919), Tels 231-0680 And 781-0600 (See Index To"
153,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_88 (1)_85.png'],N/A,CONTRACTORS—PAVING
154,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_88 (1)_87.png'],N/A,ae
155,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_88 (1)_88.png'],N/A,ie.
156,EMPTY STREET,['cd1978/entry/1978_Page_88 (3)_69.png'],,Tri State Equipment Corp Fields Point Dr
157,"SCORE LESS THAN CUTOFF: Edendale Ave,79.0,PROVIDENCE",['cd1978/entry/1978_Page_89 (1)_29.png'],VERNDALE AVE,Saint Thomas Convent 41 Edendale Av
158,"SCORE LESS THAN CUTOFF: Catamore Blvd,66.0,PROVIDENCE","['cd1978/entry/1978_Page_89 (2)_8.png', 'cd1978/entry/1978_Page_89 (2)_9.png']",SYCAMORE ST,"JEWELERS BOARD OF TRADE INC 70 Catamore Blvd (02914), Tel 438-0750"
159,"SCORE LESS THAN CUTOFF: Uspo,67.0,PROVIDENCE","['cd1978/entry/1978_Page_89 (2)_33.png', 'cd1978/entry/1978_Page_89 (2)_34.png']",RUSSO ST,Providence Postal Employees Credit Union 105 Federal Bldg Uspo
160,"SCORE LESS THAN CUTOFF: Randal! Sq Suite 410,77.0,PROVIDENCE","['cd1978/entry/1978_Page_89 (3)_61.png', 'cd1978/entry/1978_Page_89 (3)_62.png']",RANDALL SQ,Computerized Diagnostic Procedures Inc 1 Randal! Sq Suite 410
161,"SCORE LESS THAN CUTOFF: Kennedy Plaza Suite 516 ww,79.5,PROVIDENCE","['cd1978/entry/1978_Page_89 (3)_63.png', 'cd1978/entry/1978_Page_89 (3)_64.png']",KENNEDY PLZ,Data Processing Services Inc 36 Kennedy Plaza Suite 516  ww
162,"SCORE LESS THAN CUTOFF: Deli Inc 45 Eddy St,70.5,PROVIDENCE",['cd1978/entry/1978_Page_90 (1)_21.png'],DELHI ST,Club 45 Deli Inc 45 Eddy St
163,"SCORE LESS THAN CUTOFF: Randal) Sq Suite 409,77.0,PROVIDENCE","['cd1978/entry/1978_Page_90 (2)_70.png', 'cd1978/entry/1978_Page_90 (2)_71.png']",RANDALL SQ,Manera John F D D S Inc 1 Randal) Sq Suite 409
164,"SCORE LESS THAN CUTOFF: 2d St,50.0,PROVIDENCE",['cd1978/entry/1978_Page_90 (3)_69.png'],DYER ST,Baldwin Cathy B 39 2d St
165,EMPTY STREET,['cd1978/entry/1978_Page_90 (3)_81.png'],,Ewen Wm H dr 170 Westminster St Rm 506
166,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_91 (1)_14.png'],NORTH HOWARD AVE,Pinkerton’s Inc 330 Howard Bldg
167,"SCORE LESS THAN CUTOFF: Tippecanoe St,67.5,PROVIDENCE",['cd1978/entry/1978_Page_91 (1)_30.png'],TAPPAN ST,Collins R A Co 12 Tippecanoe St
168,"SCORE LESS THAN CUTOFF: WASHINGTON STREET BOSTON, MASS 02111,73.0,PROVIDENCE","['cd1978/entry/1978_Page_91 (1)_42.png', 'cd1978/entry/1978_Page_91 (1)_43.png', 'cd1978/entry/1978_Page_91 (1)_44.png', 'cd1978/entry/1978_Page_91 (1)_45.png']",WASHINGTON PL,"POLK R L & CO 600 WASHINGTON STREET BOSTON, MASS 02111 TELEPHONE (617) 426-6309"
169,"SCORE LESS THAN CUTOFF: Braemore Way ',71.5,PROVIDENCE","['cd1978/entry/1978_Page_91 (3)_40.png', 'cd1978/entry/1978_Page_91 (3)_41.png', 'cd1978/entry/1978_Page_91 (3)_42.png', 'cd1978/entry/1978_Page_91 (3)_43.png']",BELMORE RD,"A B DICK COMPANY 1 Braemore Way ' (Warwick; 02887), Sales Tel 738-8400, Service Tel 738-8450 (See Index To Advertisers)"
170,"SCORE LESS THAN CUTOFF: Weyboeset Hill 7th Fl,71.0,PROVIDENCE",['cd1978/entry/1978_Page_91 (3)_49.png'],WEYBOSSET ST,Xerox Corporation 1 Weyboeset Hill 7th Fl
171,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_92 (1).chop_43.png'],N/A,AND SUPPLIES—
172,"SCORE LESS THAN CUTOFF: Elmwood Av Electronic Switch Corp 150 Pine St,48.5,PROVIDENCE","['cd1978/entry/1978_Page_92 (1).chop_72.png', 'cd1978/entry/1978_Page_92 (1).chop_73.png', 'cd1978/entry/1978_Page_92 (1).chop_74.png', 'cd1978/entry/1978_Page_92 (1).chop_75.png', 'cd1978/entry/1978_Page_92 (1).chop_76.png', 'cd1978/entry/1978_Page_92 (1).chop_77.png', 'cd1978/entry/1978_Page_92 (1).chop_78.png', 'cd1978/entry/1978_Page_92 (1).chop_79.png']",ELTON ST,Av Electronic Service Co 376 Elmwood Av Electronic Switch Corp 150 Pine St Federal Electronics Inc 387 Charles St Hurd Electronics 288a Thayer St Lafayette Radio Electronics Of Providence Inc * 1224 N Main St ‘B & R Electronics 25 Kenyon St
173,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_92 (1).chop_80.png'],N/A,
174,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_92 (2).chop_25.png'],NORTH HOWARD AVE,Career Girls 742 Howard Bldg
175,"SCORE LESS THAN CUTOFF: 3,50.0,PROVIDENCE",['cd1978/entry/1978_Page_92 (2).chop_28.png'],3RD ST,Fox Schmidt Associates 10 Howard Bldg 313
176,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_92 (2).chop_46.png'],NORTH HOWARD AVE,Majewski Of Rhode Island 712 Howard Bldg
177,"SCORE LESS THAN CUTOFF: Howard Bidg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_92 (2).chop_51.png'],NORTH HOWARD AVE,Medical Personnel Pool 317 Howard Bidg
178,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_92 (2).chop_52.png'],NORTH HOWARD AVE,Office Personnel Pool Inc 720 Howard Bldg
179,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE","['cd1978/entry/1978_Page_92 (2).chop_59.png', 'cd1978/entry/1978_Page_92 (2).chop_60.png']",NORTH HOWARD AVE,Rita Richard P Personnel Services Inc 515 Howard Bldg
180,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_92 (2).chop_66.png'],NORTH HOWARD AVE,Xavier Associates 617 Howard Bldg
181,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_92 (3).chop_33.png'],NORTH HOWARD AVE,Marcello & Co 700 Howard Bldg
182,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_93 (1)_44.png'],N/A,RHODE ISLAND
183,ERROR IN STREET MATCHING,"['cd1978/entry/1978_Page_93 (1)_47.png', 'cd1978/entry/1978_Page_93 (1)_48.png', 'cd1978/entry/1978_Page_93 (1)_49.png', 'cd1978/entry/1978_Page_93 (1)_50.png', 'cd1978/entry/1978_Page_93 (1)_51.png', 'cd1978/entry/1978_Page_93 (1)_52.png']",02903),1 HOSPITAL TRUST PLAZA (02903) TELEPHONE 278-8000 10 DORRANCE ST (02903) 244 WEYBOSSET ST (02903) 238 THAYER ST (02906) 1 OLNEYVILLE SQ (02909)
184,EMPTY STREET,['cd1978/entry/1978_Page_93 (1)_53.png'],,434 SMITH ST (02908)
185,EMPTY STREET,['cd1978/entry/1978_Page_93 (1)_54.png'],,501 NORTH MAIN ST (02904)
186,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_93 (1)_55.png'],N/A,RHODE ISLAND HOSPITAL
187,EMPTY STREET,['cd1978/entry/1978_Page_93 (1)_57.png'],,593 EDDY ST (02902)
188,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_93 (1)_58.png'],N/A,PROVIDENCE COLLEGE OFFICE
189,ERROR IN STREET MATCHING,['cd1978/entry/1978_Page_93 (1)_59.png'],02918),SLAVIN CENTER (02918)
190,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_93 (1)_60.png'],N/A,(See Index To Advertisters)
191,"SCORE LESS THAN CUTOFF: b Pomfret St,68.5,PROVIDENCE",['cd1978/entry/1978_Page_93 (3)_25.png'],SOMERSET ST,Allyn’s Products Inc 1b Pomfret St
192,FAILED TO PARSE AN ADDRESS,"['cd1978/entry/1978_Page_94 (1)_3.png', 'cd1978/entry/1978_Page_94 (1)_4.png']",N/A,BANK OF RHODE ISLAND
193,ERROR IN STREET MATCHING,"['cd1978/entry/1978_Page_94 (1)_5.png', 'cd1978/entry/1978_Page_94 (1)_6.png']",02903),ONE TURKS HEAD PLACE (02903)
194,"SCORE LESS THAN CUTOFF: -9200,29.0,PROVIDENCE",['cd1978/entry/1978_Page_94 (1)_7.png'],I 95,TELEPHONE 751-9200
195,EMPTY STREET,"['cd1978/entry/1978_Page_94 (1)_8.png', 'cd1978/entry/1978_Page_94 (1)_9.png', 'cd1978/entry/1978_Page_94 (1)_10.png']",,591 CHARLES ST (02904) TELEPHONE 861-0250
196,EMPTY STREET,"['cd1978/entry/1978_Page_94 (1)_11.png', 'cd1978/entry/1978_Page_94 (1)_12.png']",,131 ELMGROVE AV (02906)
197,"SCORE LESS THAN CUTOFF: -5320,29.0,PROVIDENCE",['cd1978/entry/1978_Page_94 (1)_13.png'],I 95,TELEPHONE 351-5320
198,EMPTY STREET,"['cd1978/entry/1978_Page_94 (1)_14.png', 'cd1978/entry/1978_Page_94 (1)_15.png']",,260 ATWELLS AV (02803)
199,"SCORE LESS THAN CUTOFF: -3244,29.0,PROVIDENCE",['cd1978/entry/1978_Page_94 (1)_16.png'],2ND ST,TELEPHONE 421-3244
200,EMPTY STREET,"['cd1978/entry/1978_Page_94 (1)_17.png', 'cd1978/entry/1978_Page_94 (1)_18.png']",,1925 MINERAL SPRING AV NORTH PROVIDENCE (02911)
201,"SCORE LESS THAN CUTOFF: -1000,50.0,PROVIDENCE","['cd1978/entry/1978_Page_94 (1)_19.png', 'cd1978/entry/1978_Page_94 (1)_20.png']",10TH ST,TELEPHONE 353-1000 (See Index To Advertisers)
202,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_94 (1)_23.png'],N/A,RHODE ISLAND
203,ERROR IN STREET MATCHING,"['cd1978/entry/1978_Page_94 (1)_26.png', 'cd1978/entry/1978_Page_94 (1)_27.png', 'cd1978/entry/1978_Page_94 (1)_28.png', 'cd1978/entry/1978_Page_94 (1)_29.png', 'cd1978/entry/1978_Page_94 (1)_30.png', 'cd1978/entry/1978_Page_94 (1)_31.png']",02903),1 HOSPITAL TRUST PLAZA (02903) TELEPHONE 521-6700 10 DORRANCE STREET (02903) 244 WEYBOSSET STREET (02903) 288 THAYER STREET (02906) 1 OLNEYVILLE SQUARE (02909)
204,ERROR IN STREET MATCHING,['cd1978/entry/1978_Page_94 (1)_32.png'],02908),434 SMITH STREET (02908)
205,ERROR IN STREET MATCHING,['cd1978/entry/1978_Page_94 (1)_33.png'],02904),501 N MAIN STREET (02904)
206,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_94 (1)_56.png'],N/A,Alpha Delta Phi Wriston Quadrangle
207,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_94 (1)_57.png'],N/A,Alpha Pi Lambda Phi Wriston Quadrangle
208,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_94 (1)_58.png'],N/A,Beta Theta Pi Wriston Quadrangle
209,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_94 (1)_59.png'],N/A,Casement House Wriston Quadrangle
210,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_94 (1)_60.png'],N/A,Delta Phi Omega Wriston Quadrangle
211,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_94 (1)_61.png'],N/A,Deita Tau Delta Wriston Quadrangle
212,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_94 (1)_62.png'],N/A,Delta Upsilon Wriston Quadrangle
213,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_94 (1)_63.png'],N/A,Lambda Chi Alpha Wriston Quadrangle
214,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_94 (1)_64.png'],N/A,Lambda Sigma Nu Wriston Quadrangle
215,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_94 (1)_64.png'],N/A,Phi Delta Beta Wriston Quadrangle
216,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_94 (1)_65.png'],N/A,Phi Kappa Psi Wriston Quadrangle
217,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_94 (1)_65.png'],N/A,Zeta Psi Wriston Quadrangle
218,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_94 (1)_71.png'],N/A,
219,"SCORE LESS THAN CUTOFF: Tag Drive,71.5,PROVIDENCE","['cd1978/entry/1978_Page_94 (2)_56.png', 'cd1978/entry/1978_Page_94 (2)_57.png', 'cd1978/entry/1978_Page_94 (2)_58.png']",WEST RIVER ST,"BRENNAN OIL & HEATING CO INC 9 Tag Drive (N Providence; 02911), Tel 353-4210 (See Index To Advertisers)"
220,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_94 (2)_67.png'],N/A,DE BLOIS OIL CO
221,ERROR IN STREET MATCHING,"['cd1978/entry/1978_Page_94 (2)_70.png', 'cd1978/entry/1978_Page_94 (2)_71.png']",02860),(PAWTUCKET 02860) TELEPHONE 722-8000
222,"SCORE LESS THAN CUTOFF: Charies Field St,77.5,PROVIDENCE",['cd1978/entry/1978_Page_95 (2)_10.png'],CHARLES ST,Ferrara Salvatore 63 Charies Field St
223,EMPTY STREET,['cd1978/entry/1978_Page_95 (3)_21.png'],,Petrolane Transport Fields Point Dr
224,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_95 (3)_26.png'],N/A,PROVIDENCE GAS
225,ERROR IN STREET MATCHING,"['cd1978/entry/1978_Page_95 (3)_28.png', 'cd1978/entry/1978_Page_95 (3)_29.png', 'cd1978/entry/1978_Page_95 (3)_30.png']",02903),100 WEYBOSSET STREET (PROVIDENCE 02903) TELEPHONE 831-8800
226,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_95 (3)_35.png'],N/A,BILLING OR CREDIT
227,"SCORE LESS THAN CUTOFF: -8800 ALL OTHER,61.5,PROVIDENCE",['cd1978/entry/1978_Page_95 (3)_37.png'],MATHER AV,TELEPHONE 831-8800 ALL OTHER
228,"SCORE LESS THAN CUTOFF: -5040,29.0,PROVIDENCE",['cd1978/entry/1978_Page_95 (3)_39.png'],I 95,TELEPHONE 272-5040
229,FAILED TO PARSE AN ADDRESS,"['cd1978/entry/1978_Page_96 (2)_53.png', 'cd1978/entry/1978_Page_96 (2)_54.png']",N/A,Esther's Cards & Gifts One Hosp Trust Plaza Ist Fl
230,"SCORE LESS THAN CUTOFF: Cabot St,77.5,PROVIDENCE",['cd1978/entry/1978_Page_97 (2)_68.png'],TALBOT ST,Wheeler Memorial Hall 15 Cabot St
231,EMPTY STREET,['cd1978/entry/1978_Page_98 (1)_23.png'],,OUR LADY OF FATIMA UNIT OF ST
232,EMPTY STREET,"['cd1978/entry/1978_Page_98 (1)_62.png', 'cd1978/entry/1978_Page_98 (1)_63.png']",,"MARRIOTT INN Charles At Orms St (02904), Tel 401-272-2400"
233,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_98 (1)_67.png'],N/A,MOVERS
234,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_98 (1)_77.png'],N/A,
235,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_98 (2)_3.png'],N/A,
236,ERROR IN STREET MATCHING,"['cd1978/entry/1978_Page_98 (2)_4.png', 'cd1978/entry/1978_Page_98 (2)_5.png', 'cd1978/entry/1978_Page_98 (2)_6.png', 'cd1978/entry/1978_Page_98 (2)_7.png']","02920),","BALLOU JOHNSON & NICHOLS CO One Wholesale Way, Cranston, RI (02920), Tel 463-6700 (See Index To Advertisers)"
237,ERROR IN STREET MATCHING,"['cd1978/entry/1978_Page_98 (2)_33.png', 'cd1978/entry/1978_Page_98 (2)_34.png', 'cd1978/entry/1978_Page_98 (2)_35.png', 'cd1978/entry/1978_Page_98 (2)_36.png']","02920),","BALLOU JOHNSON & NICHOLS CO One Wholesale Way, Cranston, RI (02920), Tel 463-6700 (See Index To Advertisers)"
238,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_98 (3)_13.png'],NORTH HOWARD AVE,M & G Industries Inc 634 Howard Bldg
239,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_98 (3)_19.png'],NORTH HOWARD AVE,Nine Hundred Corp 700 Howard Bldg
240,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_98 (3)_60.png'],N/A,"Dorrance Street, Tel 278-6010, Wash"
241,"SCORE LESS THAN CUTOFF: 0,40.0,PROVIDENCE",['cd1978/entry/1978_Page_98 (3)_63.png'],10TH ST,278-6090
242,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_98 (3)_71.png'],NORTH HOWARD AVE,Acacia Mutual Life Ins 800 Howard Bldg
243,"SCORE LESS THAN CUTOFF: th FI,65.0,PROVIDENCE","['cd1978/entry/1978_Page_98 (3)_74.png', 'cd1978/entry/1978_Page_98 (3)_75.png']",4TH ST,Aetna Life & Casualty Insurance One Hosp Trust Plaza 10th FI
244,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE","['cd1978/entry/1978_Page_98 (3)_82.png', 'cd1978/entry/1978_Page_98 (3)_83.png', 'cd1978/entry/1978_Page_98 (3)_84.png']",NORTH HOWARD AVE,American General Life Insurance Co 10 Howard Bldg Rm 334
245,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE","['cd1978/entry/1978_Page_99 (1)_10.png', 'cd1978/entry/1978_Page_99 (1)_11.png']",NORTH HOWARD AVE,American National Insurance Co 511 Howard Bldg
246,"SCORE LESS THAN CUTOFF: th FI,65.0,PROVIDENCE","['cd1978/entry/1978_Page_99 (1)_18.png', 'cd1978/entry/1978_Page_99 (1)_19.png']",4TH ST,Amica Mutual Ins Co One Hosp Trust Plaza 19th FI
247,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_99 (1)_37.png'],NORTH HOWARD AVE,Berkshire Life Insurance Co 430 Howard Bldg
248,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE","['cd1978/entry/1978_Page_99 (1)_52.png', 'cd1978/entry/1978_Page_99 (1)_53.png']",NORTH HOWARD AVE,Broker's Service Agency Inc 10 Howard Bldg Rm 816
249,"SCORE LESS THAN CUTOFF: th F),68.5,PROVIDENCE","['cd1978/entry/1978_Page_99 (1)_74.png', 'cd1978/entry/1978_Page_99 (1)_75.png']",4TH ST,Chicago Title Insurance Co One Hosp Trust Plaza 18th F)
250,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE","['cd1978/entry/1978_Page_99 (1)_83.png', 'cd1978/entry/1978_Page_99 (1)_84.png']",NORTH HOWARD AVE,Connecticut General Life Ins Co 810 Howard Bldg
251,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE","['cd1978/entry/1978_Page_99 (1)_85.png', 'cd1978/entry/1978_Page_99 (1)_86.png']",NORTH HOWARD AVE,Connecticut General Life Ins Co 218 Howard Bldg
252,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_99 (1)_90.png'],NORTH HOWARD AVE,Continental Insurance Co 632 Howard Bldg
253,"SCORE LESS THAN CUTOFF: Howard Bidg,76.0,PROVIDENCE","['cd1978/entry/1978_Page_99 (1)_91.png', 'cd1978/entry/1978_Page_99 (1)_92.png']",NORTH HOWARD AVE,Countrywide Life Insurance Co 1141 Howard Bidg
254,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE","['cd1978/entry/1978_Page_99 (1)_106.png', 'cd1978/entry/1978_Page_99 (1)_107.png']",NORTH HOWARD AVE,D'Orlando Makowsky Associates Inc 616 Howard Bldg
255,"SCORE LESS THAN CUTOFF: Howard Bidg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_99 (2)_36.png'],NORTH HOWARD AVE,Gorton & O'Connor 740 Howard Bidg
256,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_99 (2)_44.png'],NORTH HOWARD AVE,Hartley Wm H Inc 501 Howard Bldg
257,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE","['cd1978/entry/1978_Page_99 (2)_52.png', 'cd1978/entry/1978_Page_99 (2)_53.png']",NORTH HOWARD AVE,Independent Ins Agents Of Ri 622 Howard Bldg
258,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE","['cd1978/entry/1978_Page_99 (2)_56.png', 'cd1978/entry/1978_Page_99 (2)_57.png']",NORTH HOWARD AVE,Insurance Co Of North America 311 Howard Bldg
259,"SCORE LESS THAN CUTOFF: th Fi,65.0,PROVIDENCE","['cd1978/entry/1978_Page_99 (2)_58.png', 'cd1978/entry/1978_Page_99 (2)_59.png']",4TH ST,Insurance Services Office Of Rhode Island One Ho. Trust Plaza 14th Fi
260,"SCORE LESS THAN CUTOFF: Howard Bidg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_99 (2)_77.png'],NORTH HOWARD AVE,Knibb Sheehan & Co 424 Howard Bidg
261,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE","['cd1978/entry/1978_Page_99 (3)_4.png', 'cd1978/entry/1978_Page_99 (3)_5.png']",NORTH HOWARD AVE,Mc Coy James F Insurance Agency 601 Howard Bldg
262,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_99 (3)_17.png'],NORTH HOWARD AVE,Monarch Life Insurance Co 414 Howard Bldg
263,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_99 (3)_30.png'],NORTH HOWARD AVE,Nadeau Leo Agency 334 Howard Bldg
264,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE","['cd1978/entry/1978_Page_99 (3)_33.png', 'cd1978/entry/1978_Page_99 (3)_34.png']",NORTH HOWARD AVE,National Brokerage Service Inc 510 Howard Bldg
265,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_99 (3)_35.png'],NORTH HOWARD AVE,National Life Insurance Co 211 Howard Bldg
266,"SCORE LESS THAN CUTOFF: Howard Bidg,76.0,PROVIDENCE","['cd1978/entry/1978_Page_99 (3)_43.png', 'cd1978/entry/1978_Page_99 (3)_44.png']",NORTH HOWARD AVE,New England Underwriters Inc 512 Howard Bidg
267,"SCORE LESS THAN CUTOFF: RIDGEWAY AVENUE PROVIDENCE,78.0,PROVIDENCE","['cd1978/entry/1978_Page_99 (3)_57.png', 'cd1978/entry/1978_Page_99 (3)_58.png', 'cd1978/entry/1978_Page_99 (3)_59.png', 'cd1978/entry/1978_Page_99 (3)_60.png', 'cd1978/entry/1978_Page_99 (3)_61.png']",PROVIDENCE ST,ORTOLEVA ROBERT S 24 RIDGEWAY AVENUE PROVIDENCE (02909) TELEPHONE 421-7112 RESIDENCE TELEPHONE 351-6682
268,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE","['cd1978/entry/1978_Page_99 (3)_101.png', 'cd1978/entry/1978_Page_99 (3)_102.png', 'cd1978/entry/1978_Page_99 (3)_103.png']",NORTH HOWARD AVE,R I Association Of Insurance Agents Inc 622 Howard Bldg
269,"SCORE LESS THAN CUTOFF: d FI,62.0,PROVIDENCE","['cd1978/entry/1978_Page_100 (1)_8.png', 'cd1978/entry/1978_Page_100 (1)_9.png']",DI FAZIO DR,Rhode Island Joint Reinsurance Assn One Hosp Trust Plaza 22d FI
270,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE","['cd1978/entry/1978_Page_100 (1)_14.png', 'cd1978/entry/1978_Page_100 (1)_15.png']",NORTH HOWARD AVE,Royal Globe Insurance Companies 304 Howard Bldg
271,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_100 (1)_16.png'],NORTH HOWARD AVE,Rumford Insurance Co 718 Howard Bldg
272,"SCORE LESS THAN CUTOFF: Catamore Bivd, East Providence, RI,74.5,PROVIDENCE","['cd1978/entry/1978_Page_100 (1)_34.png', 'cd1978/entry/1978_Page_100 (1)_35.png', 'cd1978/entry/1978_Page_100 (1)_36.png', 'cd1978/entry/1978_Page_100 (1)_37.png']",PROVIDENCE PL,"STATE MUTUAL LIFE ASSURANCE COMPANY OF AMERICA 60 Catamore Bivd, East Providence, RI (02914), Tel 438-7350"
273,"SCORE LESS THAN CUTOFF: Howard Bidg,76.0,PROVIDENCE","['cd1978/entry/1978_Page_100 (1)_46.png', 'cd1978/entry/1978_Page_100 (1)_47.png']",NORTH HOWARD AVE,Transamerican Life Ing & Annuity Co 1141 Howard Bidg
274,"SCORE LESS THAN CUTOFF: Weyboseet Hill 5th FI,71.0,PROVIDENCE","['cd1978/entry/1978_Page_100 (1)_48.png', 'cd1978/entry/1978_Page_100 (1)_49.png']",WEYBOSSET ST,Travelers Insurance Client Service Center 1 Weyboseet Hill 5th FI
275,"SCORE LESS THAN CUTOFF: Howard Bidg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_100 (1)_70.png'],NORTH HOWARD AVE,Watson E L Co Inc 716 Howard Bidg
276,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_100 (2)_32.png'],N/A,AETNA LIFE INSURANCE CO-AETNA
277,"SCORE LESS THAN CUTOFF: Hospital Trust Tower,78.5,PROVIDENCE","['cd1978/entry/1978_Page_100 (2)_34.png', 'cd1978/entry/1978_Page_100 (2)_35.png']",HOSPITAL ST,"INSURANCE CO 820 Hospital Trust Tower (02903), Tel (401) 456-2900"
